osm_way_id,street_name,road_type,ward_code,ward_name,status
1047710928,Mumbles Road,primary,W05001064,Sketty,not_started
1047710938,Cwm Farm Lane,unclassified,W05001064,Sketty,not_started
1050520413,Golwg Hafren,residential,W05001064,Sketty,not_started
1052322115,Clevedon Court,residential,W05001067,Uplands,not_started
1052559914,Ffordd yr Olchfa,residential,W05001045,Dunvant_Killay,not_started
1053369645,Oakwood Road,residential,W05001067,Uplands,not_started
105714023,St. Albans Road,residential,W05001067,Uplands,not_started
105714024,Bryn Road,tertiary,W05001067,Uplands,not_started
105714029,Canterbury Road,residential,W05001067,Uplands,not_started
10580632,Elmgrove Road,residential,W05001056,Mumbles,not_started
10580657,Woodland Avenue,residential,W05001056,Mumbles,not_started
10594618,Heol Pentre-Felen,tertiary,W05001051,Llangyfelach,not_started
10594618,Heol Pentre-Felen,tertiary,W05001057,Mynydd-bach,not_started
10594619,Heol Waun Wen,residential,W05001051,Llangyfelach,not_started
10594620,Maes Sant Teilo,residential,W05001051,Llangyfelach,not_started
10594621,Clos Sant Teilo,residential,W05001051,Llangyfelach,not_started
10594622,Cwmgelli Road,residential,W05001057,Mynydd-bach,not_started
10594624,Maytree Close,residential,W05001057,Mynydd-bach,not_started
10594628,Clyndu Street,tertiary,W05001055,Morriston,not_started
10594629,Morfydd Street,residential,W05001055,Morriston,not_started
10594630,Pentremalwed Road,residential,W05001055,Morriston,not_started
10594631,Aran Street,residential,W05001055,Morriston,not_started
10594731,Mulberry Avenue,tertiary,W05001056,Mumbles,not_started
10594783,Norton Road,residential,W05001056,Mumbles,not_started
10594882,Rowan Avenue,residential,W05001064,Sketty,not_started
10596870,West Cross Avenue,residential,W05001056,Mumbles,not_started
10633404,Trewyddfa Road,residential,W05001055,Morriston,not_started
10633406,Heol Nant Gelli,residential,W05001050,Landore,not_started
10633406,Heol Nant Gelli,residential,W05001057,Mynydd-bach,not_started
10633407,Bryn Terrace,residential,W05001050,Landore,not_started
10633408,Manselton Road,tertiary,W05001044,Cwmbwrla,not_started
10633412,Samlet Road,primary,W05001052,Llansamlet,not_started
10633413,Bran Close,unclassified,W05001052,Llansamlet,not_started
106362617,Brynmill Avenue,residential,W05001067,Uplands,not_started
1063627133,George Manning Way,residential,W05001049,Gowerton,not_started
10639381,Mynydd Garnlwyd Road,residential,W05001057,Mynydd-bach,not_started
10639381,Mynydd Garnlwyd Road,residential,W05001055,Morriston,not_started
10639382,Llewelyn Park Drive,residential,W05001057,Mynydd-bach,not_started
10639386,Beaufort Road,unclassified,W05001055,Morriston,not_started
10639389,Lon Enfys,residential,W05001052,Llansamlet,not_started
10639390,Bethel Road,tertiary,W05001052,Llansamlet,not_started
10639391,Bryn Morfa,residential,W05001040,Bon-y-maen,not_started
10647280,Clyne Crescent,residential,W05001056,Mumbles,not_started
10647290,Muirfield Drive,residential,W05001056,Mumbles,not_started
10647313,Sunningdale Avenue,residential,W05001056,Mumbles,not_started
10647344,Clyne Close,residential,W05001056,Mumbles,not_started
106512688,Waterloo Place,residential,W05001067,Uplands,not_started
106512689,Trafalgar Place,residential,W05001067,Uplands,not_started
106517227,Marlborough Road,residential,W05001067,Uplands,not_started
10683525,Alderwood Road,residential,W05001056,Mumbles,not_started
10683955,Brynmill Lane,tertiary,W05001064,Sketty,not_started
1069012247,Overland Road,residential,W05001056,Mumbles,not_started
1071238697,Heol Fach,residential,W05001051,Llangyfelach,not_started
10753214,Highpool Lane,residential,W05001056,Mumbles,not_started
10753286,Highmead Avenue,residential,W05001056,Mumbles,not_started
10753365,The Orchard,residential,W05001056,Mumbles,not_started
10753515,Bramley Drive,residential,W05001056,Mumbles,not_started
10753724,Reigit Lane,unclassified,W05001039,Bishopston,not_started
10753987,Curlew Close,residential,W05001056,Mumbles,not_started
10754011,Wentworth Crescent,residential,W05001056,Mumbles,not_started
10754466,Mumbles Road,primary,W05001056,Mumbles,not_started
10754769,Llwynderw Drive,residential,W05001056,Mumbles,not_started
10754869,Heneage Drive,residential,W05001056,Mumbles,not_started
10754950,Llwynderw Close,residential,W05001056,Mumbles,not_started
10755243,Aylesbury Road,residential,W05001067,Uplands,not_started
10755322,Finsbury Terrace,residential,W05001067,Uplands,not_started
1077371656,Carmel Road,secondary,W05001040,Bon-y-maen,not_started
107755355,Llys-Gwyn Terrace,residential,W05001062,Pontarddulais,not_started
1078915988,Vale of Neath Road,unclassified,W05001065,StThomas,not_started
1079249630,New Cut Road,primary,W05001041,Castle,not_started
1080369500,Sketty Lane,primary,W05001064,Sketty,not_started
10804348,Owls Lodge Lane,unclassified,W05001056,Mumbles,not_started
10804370,Ashburnham Drive,residential,W05001056,Mumbles,not_started
10804430,Radyr Avenue,residential,W05001056,Mumbles,not_started
10805112,De Breos Street,residential,W05001067,Uplands,not_started
10805136,Kemble Street,residential,W05001067,Uplands,not_started
10805330,Langland Terrace,residential,W05001067,Uplands,not_started
10805330,Langland Terrace,residential,W05001064,Sketty,not_started
1080680399,Gwent Road,tertiary,W05001066,Townhill,not_started
1080768563,Plunch Lane,tertiary,W05001056,Mumbles,not_started
1080797921,Somerset Road,residential,W05001056,Mumbles,not_started
1082541981,Gloucester Place,residential,W05001056,Mumbles,not_started
1082542025,Park Street,residential,W05001056,Mumbles,not_started
1083291659,Wellington Street,unclassified,W05001041,Castle,not_started
1083583073,Oystermouth Road,primary,W05001068,Waterfront,not_started
1083583074,West Way,tertiary,W05001041,Castle,not_started
1086525466,Mynydd Gelli Wastad Road,unclassified,W05001055,Morriston,not_started
1086525478,Western Road,unclassified,W05001055,Morriston,not_started
1086525478,Western Road,unclassified,W05001042,Clydach,not_started
1087019977,Lone Road,tertiary,W05001042,Clydach,not_started
1087020056,Vardre Road,tertiary,W05001042,Clydach,not_started
1087026331,Sway Road,secondary,W05001055,Morriston,not_started
1087029788,Llanllienwen Road,unclassified,W05001055,Morriston,not_started
1087029790,Cwmrhydyceirw Road,tertiary,W05001055,Morriston,not_started
1087029791,Maes-y-Gwernen Road,residential,W05001055,Morriston,not_started
1087032821,Rhydypandy Road,unclassified,W05001051,Llangyfelach,not_started
1087034606,Byng Street,residential,W05001050,Landore,not_started
1087035409,Brunel Way,unclassified,W05001050,Landore,not_started
1087038218,Minotaur Way,residential,W05001040,Bon-y-maen,not_started
1087040541,Nantong Way,tertiary,W05001040,Bon-y-maen,not_started
1087040544,Ffordd Donaldson,residential,W05001040,Bon-y-maen,not_started
1087040545,Brunel Way,unclassified,W05001040,Bon-y-maen,not_started
108821251,Pant yr Helyg,residential,W05001043,Cockett,not_started
1090377066,Tycoch Road,tertiary,W05001064,Sketty,not_started
1090377066,Tycoch Road,tertiary,W05001067,Uplands,not_started
10905059,Beaufort Drive,residential,W05001061,Pennard,not_started
10905066,Beaufort Gardens,residential,W05001061,Pennard,not_started
109177301,Ffordd Ger y Llyn,residential,W05001063,Pontlliw_Tircoed,not_started
109177311,Clos Ger Y Maes,residential,W05001063,Pontlliw_Tircoed,not_started
109177314,Heol Tircoed,residential,W05001063,Pontlliw_Tircoed,not_started
110256838,Castle View,residential,W05001056,Mumbles,not_started
110256840,Brynau Drive,residential,W05001056,Mumbles,not_started
110256855,Westport Avenue,residential,W05001056,Mumbles,not_started
110256861,Upper Castle View,residential,W05001056,Mumbles,not_started
110256863,Mayals Road,secondary,W05001056,Mumbles,not_started
110256876,Willowbrook Gardens,residential,W05001056,Mumbles,not_started
1102860145,Convent Street,residential,W05001041,Castle,not_started
110382782,Mixen Close,residential,W05001056,Mumbles,not_started
110382785,Shearwater Close,residential,W05001056,Mumbles,not_started
110382792,Dunster Close,residential,W05001056,Mumbles,not_started
110532245,Whitegates,residential,W05001056,Mumbles,not_started
110532254,Mulgrave Way,residential,W05001056,Mumbles,not_started
1106304488,The Lone,unclassified,W05001042,Clydach,not_started
110666117,Havergal Close,residential,W05001056,Mumbles,not_started
110666118,Victoria Court,residential,W05001056,Mumbles,not_started
110691205,Maes yr Eos,residential,W05001056,Mumbles,not_started
110691211,Rushwind Close,residential,W05001056,Mumbles,not_started
110691236,Fulmar Close,residential,W05001056,Mumbles,not_started
110691239,Highpool Close,residential,W05001056,Mumbles,not_started
110691241,Orchid Court,residential,W05001056,Mumbles,not_started
110691249,Osprey Close,residential,W05001056,Mumbles,not_started
110691260,Gonhill,residential,W05001056,Mumbles,not_started
11084924,Belvedere Close,residential,W05001061,Pennard,not_started
11088126,Castle Bailey Street,pedestrian,W05001041,Castle,not_started
11088163,Castle Street,secondary,W05001041,Castle,not_started
11089071,The Strand,tertiary,W05001050,Landore,not_started
11089071,The Strand,tertiary,W05001041,Castle,not_started
11090991,Lan Coed,residential,W05001040,Bon-y-maen,not_started
111495904,Stepney Mews,residential,W05001044,Cwmbwrla,not_started
112075997,Oak Tree Avenue,residential,W05001064,Sketty,not_started
112075998,Birch Tree Close,residential,W05001064,Sketty,not_started
112176737,Pentre Bach,residential,W05001043,Cockett,not_started
11256692,Knoll Avenue,residential,W05001067,Uplands,not_started
11256718,Pant Y Gwydr Road,residential,W05001067,Uplands,not_started
11260545,Quay Parade,primary,W05001041,Castle,not_started
11354273,Clyne Drive,residential,W05001056,Mumbles,not_started
11354404,Fernhill Close,residential,W05001056,Mumbles,not_started
11354519,Sherborne Walk,residential,W05001056,Mumbles,not_started
11354739,Rhyddings Terrace,residential,W05001067,Uplands,not_started
11355081,Richmond Terrace,residential,W05001067,Uplands,not_started
11355098,Uplands Terrace,residential,W05001067,Uplands,not_started
11355113,Mirador Crescent,residential,W05001067,Uplands,not_started
11355158,St James's Crescent,residential,W05001067,Uplands,not_started
11356355,Quay Parade,primary,W05001065,StThomas,not_started
11358075,Quay Parade,primary,W05001068,Waterfront,not_started
11361673,East Bank Way,primary,W05001065,StThomas,not_started
11361974,Pentreguinea Road,primary,W05001065,StThomas,not_started
11362056,King's Road,tertiary,W05001065,StThomas,not_started
11362056,King's Road,tertiary,W05001068,Waterfront,not_started
11489999,Penbryn Terrace,residential,W05001067,Uplands,not_started
11490035,Malvern Terrace,residential,W05001067,Uplands,not_started
115028403,Vernon Close,residential,W05001063,Pontlliw_Tircoed,not_started
115028406,Christopher Rise,residential,W05001063,Pontlliw_Tircoed,not_started
115028415,Oaklands Road,residential,W05001063,Pontlliw_Tircoed,not_started
115028418,Clos Glanlliw,residential,W05001063,Pontlliw_Tircoed,not_started
115122056,Water Street,primary,W05001062,Pontarddulais,not_started
1152878168,Parc Llydan,residential,W05001061,Pennard,not_started
115654386,Baglan Street,residential,W05001065,StThomas,not_started
115654392,Dinam Road,unclassified,W05001065,StThomas,not_started
115654392,Dinam Road,unclassified,W05001040,Bon-y-maen,not_started
115654395,Bay View,residential,W05001065,StThomas,not_started
115654397,Monton Terrace,residential,W05001065,StThomas,not_started
115654398,Bog Road,unclassified,W05001040,Bon-y-maen,not_started
115830881,Loughor Road,secondary,W05001053,Llwchwr,not_started
1159203446,Ffordd Cynore,secondary,W05001043,Cockett,not_started
1159203448,Pontarddulais Road,primary_link,W05001059,Penderry,not_started
1159203448,Pontarddulais Road,primary_link,W05001043,Cockett,not_started
1159203449,Pentregethin Road,tertiary,W05001059,Penderry,not_started
1159252602,Carmarthen Road,primary,W05001043,Cockett,not_started
1159252608,Carmarthen Road,primary,W05001044,Cwmbwrla,not_started
1159252617,Carmarthen Road,primary,W05001041,Castle,not_started
1160212019,Western Lane,unclassified,W05001056,Mumbles,not_started
11645276,Heatherslade Road,residential,W05001061,Pennard,not_started
11645344,Deepslade Close,residential,W05001061,Pennard,not_started
11645451,Foxhole Drive,residential,W05001061,Pennard,not_started
11645961,Saint Catwg Walk,residential,W05001056,Mumbles,not_started
11647373,Pennard Road,tertiary,W05001061,Pennard,not_started
1164824471,Waverley Drive,residential,W05001056,Mumbles,not_started
11648862,Caswell Drive,residential,W05001056,Mumbles,not_started
11648867,Summerland Lane,residential,W05001056,Mumbles,not_started
11648890,Woollacott Drive,residential,W05001056,Mumbles,not_started
11651660,Chesshyre Street,residential,W05001067,Uplands,not_started
11679247,Beechwood Road,residential,W05001067,Uplands,not_started
11679247,Beechwood Road,residential,W05001064,Sketty,not_started
11685840,Limekiln Road,unclassified,W05001056,Mumbles,not_started
116907962,Clos Islwyn,residential,W05001045,Dunvant_Killay,not_started
116907966,Cowper Close,residential,W05001045,Dunvant_Killay,not_started
116907973,Walters Row,secondary,W05001045,Dunvant_Killay,not_started
117220300,Clos Allt-y-Gog,residential,W05001062,Pontarddulais,not_started
117220304,Gwynfryn Road,residential,W05001062,Pontarddulais,not_started
117220306,Park Terrace,residential,W05001062,Pontarddulais,not_started
117220308,Llys Ger y Llan,residential,W05001062,Pontarddulais,not_started
117334009,Heol y Wern,residential,W05001053,Llwchwr,not_started
117334010,Gwalia Crescent,residential,W05001047,Gorseinon_Penyrheol,not_started
117334012,Penmynydd,residential,W05001047,Gorseinon_Penyrheol,not_started
117334012,Penmynydd,residential,W05001053,Llwchwr,not_started
117624042,Charlotte Court,residential,W05001043,Cockett,not_started
117624043,Lee Court,residential,W05001043,Cockett,not_started
1176634221,Rotherslade Road,unclassified,W05001056,Mumbles,not_started
1178782310,Thistleboon Gardens,residential,W05001056,Mumbles,not_started
117882884,Llwyncelyn Avenue,residential,W05001062,Pontarddulais,not_started
117882885,Garnswllt Road,unclassified,W05001062,Pontarddulais,not_started
117882886,Cae-Gwyn Road,residential,W05001062,Pontarddulais,not_started
117882888,Heol Wyllt,unclassified,W05001062,Pontarddulais,not_started
117882891,Heol Glynteg,residential,W05001062,Pontarddulais,not_started
117882892,Plasgwyn,residential,W05001062,Pontarddulais,not_started
117882894,Upper Mill Road,residential,W05001062,Pontarddulais,not_started
117882895,Ger-y-Pant,residential,W05001062,Pontarddulais,not_started
117885017,Y Llanerch,residential,W05001063,Pontlliw_Tircoed,not_started
117885019,Dillwyn Court,residential,W05001063,Pontlliw_Tircoed,not_started
117885022,Heol-y-Twyn,residential,W05001063,Pontlliw_Tircoed,not_started
117885024,Woodfield Avenue,residential,W05001063,Pontlliw_Tircoed,not_started
117885025,Pant-y-Deri,residential,W05001063,Pontlliw_Tircoed,not_started
117885026,Heol Pant-y-Lliw,residential,W05001063,Pontlliw_Tircoed,not_started
117885030,Bryn Bach Road,unclassified,W05001062,Pontarddulais,not_started
117885031,Bryn Road,residential,W05001063,Pontlliw_Tircoed,not_started
117885033,Heol y Waun,residential,W05001063,Pontlliw_Tircoed,not_started
117885034,The Dell,residential,W05001063,Pontlliw_Tircoed,not_started
1184221784,Eastcliff,unclassified,W05001061,Pennard,not_started
118713799,Teddington Place,residential,W05001062,Pontarddulais,not_started
118713802,Clayton Drive,residential,W05001062,Pontarddulais,not_started
118713804,Williams Street,residential,W05001062,Pontarddulais,not_started
118713805,Myrtle Hill,residential,W05001062,Pontarddulais,not_started
118713808,Maesgwyn Road,residential,W05001062,Pontarddulais,not_started
118713810,Ffordd Cambria,residential,W05001062,Pontarddulais,not_started
1189151052,Llys Morfydd,residential,W05001062,Pontarddulais,not_started
1189369873,Awel Y Mor,residential,W05001064,Sketty,not_started
1189375991,Bishops Wood Grove,residential,W05001056,Mumbles,not_started
1189380216,Heol Tegeirian,residential,W05001059,Penderry,not_started
1190383684,Caswell Road,tertiary,W05001039,Bishopston,not_started
1191711939,Bullins Lane,residential,W05001067,Uplands,not_started
119335399,St Brides Close,residential,W05001062,Pontarddulais,not_started
119558332,Castle Street,primary,W05001053,Llwchwr,not_started
119617010,Llys Jernegan,residential,W05001068,Waterfront,not_started
119617011,Heathfield,residential,W05001041,Castle,not_started
119617364,Padley Road,residential,W05001068,Waterfront,not_started
119767745,Bolgoed Road,primary,W05001063,Pontlliw_Tircoed,not_started
119767745,Bolgoed Road,primary,W05001062,Pontarddulais,not_started
120403567,Penclawdd Road,secondary,W05001049,Gowerton,not_started
120824308,Clos Burlais,residential,W05001044,Cwmbwrla,not_started
120824314,Harrington Place,unclassified,W05001041,Castle,not_started
120824316,Llwyn Helyg,residential,W05001043,Cockett,not_started
120824318,Harrington Street,residential,W05001041,Castle,not_started
120824320,Harlington Road,residential,W05001043,Cockett,not_started
120824332,Griffith John Street,unclassified,W05001041,Castle,not_started
12092674,Brynmill Crescent,residential,W05001067,Uplands,not_started
12096024,Long Shepherds Drive,residential,W05001056,Mumbles,not_started
12096028,Clyne Valley Lane,unclassified,W05001064,Sketty,not_started
12097560,Cypress Avenue,residential,W05001056,Mumbles,not_started
12099312,Caswell Road,secondary,W05001056,Mumbles,not_started
120995504,Vaughan Crescent,residential,W05001062,Pontarddulais,not_started
120995509,Heol Daniel,residential,W05001062,Pontarddulais,not_started
12102913,Clyne Common,secondary,W05001056,Mumbles,not_started
121078969,Hollybush Close,residential,W05001056,Mumbles,not_started
121078970,Bude Haven Terrace,residential,W05001056,Mumbles,not_started
121078971,Silverhurst,residential,W05001056,Mumbles,not_started
121078972,Broadview Lane,residential,W05001056,Mumbles,not_started
121078974,Westcliff Mews,residential,W05001056,Mumbles,not_started
121078975,Dunns Close,residential,W05001056,Mumbles,not_started
121078976,Berma Close,residential,W05001056,Mumbles,not_started
12110831,Heol Y Fran,residential,W05001055,Morriston,not_started
12110833,Rhodfa'r Dryw,residential,W05001055,Morriston,not_started
121153701,Weobley Court,residential,W05001059,Penderry,not_started
121153702,Lark Place,residential,W05001059,Penderry,not_started
121153704,Portmead Place,residential,W05001059,Penderry,not_started
121153707,Falcon Place,residential,W05001059,Penderry,not_started
121153710,Alderbrook Court,residential,W05001059,Penderry,not_started
121153711,Eagles Place,residential,W05001059,Penderry,not_started
121153712,Ty'r Maes,residential,W05001059,Penderry,not_started
121153713,Mewslade Avenue,residential,W05001059,Penderry,not_started
121153715,Portmead Avenue,residential,W05001059,Penderry,not_started
121153717,Robin Road,residential,W05001059,Penderry,not_started
121153718,Miller's Court,residential,W05001059,Penderry,not_started
121153719,Briar's Court,residential,W05001059,Penderry,not_started
121153722,Blaen-y-Maes Drive,residential,W05001059,Penderry,not_started
121154145,Pittsburgh Court,residential,W05001059,Penderry,not_started
121154147,Knelston Place,residential,W05001059,Penderry,not_started
121154149,Waldhof Court,residential,W05001059,Penderry,not_started
121166125,St. Rhidian Road,residential,W05001059,Penderry,not_started
121166127,Cathan Crescent,residential,W05001059,Penderry,not_started
121166129,Clos Aneira,residential,W05001043,Cockett,not_started
121166130,Paviland Place,residential,W05001059,Penderry,not_started
121166132,Clos Calfaria,residential,W05001043,Cockett,not_started
121166133,Ozanam Court,residential,W05001059,Penderry,not_started
121166136,Jubilee Way,unclassified,W05001043,Cockett,not_started
121166138,Heol Newydd,residential,W05001059,Penderry,not_started
121166139,The Crescent,residential,W05001059,Penderry,not_started
121166140,Cheriton Crescent,residential,W05001059,Penderry,not_started
121166142,Whiteford Road,residential,W05001059,Penderry,not_started
121166146,Fermoy Court,residential,W05001059,Penderry,not_started
121166147,Cathan Close,residential,W05001059,Penderry,not_started
121166157,Cwm Cadle,residential,W05001059,Penderry,not_started
121166167,St. Cenydd Road,residential,W05001059,Penderry,not_started
121166171,Heol Gruffydd,residential,W05001059,Penderry,not_started
121166180,Chiltern Close,residential,W05001043,Cockett,not_started
1211774620,Thistleboon Drive,unclassified,W05001056,Mumbles,not_started
12123086,Lady Housty Avenue,residential,W05001056,Mumbles,not_started
12123406,Burnham Drive,residential,W05001056,Mumbles,not_started
12123823,Lambourne Drive,residential,W05001056,Mumbles,not_started
12124318,Alder Way,residential,W05001056,Mumbles,not_started
12124726,Olive Road,residential,W05001056,Mumbles,not_started
12125018,Cedar Crescent,residential,W05001056,Mumbles,not_started
12125276,Mill Lane,residential,W05001056,Mumbles,not_started
